Year,Quarter,District,Price
2005,Q2,Tetuan,3673.7
2005,Q2,Usera,2746.7
2005,Q2,Vicalvaro,2954.1
2005,Q2,Villa de Vallecas,2663.1
2005,Q2,Villaverde,2532.5
2005,Q3,Arganzuela,3595.2
2005,Q3,Barajas,3365.8
2005,Q3,Carabanchel,2777.5
2005,Q3,Centro,3841.3
2005,Q3,Chamartin,4423.8
2005,Q3,Chamberi,4436.2
2005,Q3,Ciudad Lineal,3580.6
2005,Q3,Fuencarral,3471.7
2005,Q3,Hortaleza,3476.2
2005,Q3,Latina,2967.6
2005,Q3,Madrid,3722.4
2005,Q3,Moncloa,3854
2005,Q3,Moratalaz,3044.7
2005,Q3,Puente de Vallecas,2842
2005,Q3,Retiro,4012
2005,Q3,Salamanca,4544
2005,Q3,San Blas,3266.7
2005,Q3,Tetuan,3748.1
2005,Q3,Usera,2792.6
2005,Q3,Vicalvaro,3025
2005,Q3,Villa de Vallecas,2737.4
2005,Q3,Villaverde,2575.7
2005,Q4,Arganzuela,3674
2005,Q4,Barajas,3432.9
2005,Q4,Carabanchel,2855.1
2005,Q4,Centro,4011.1
2005,Q4,Chamartin,4526.2
2005,Q4,Chamberi,4516.5
2005,Q4,Ciudad Lineal,3705.3
2005,Q4,Fuencarral,3593.4
2005,Q4,Hortaleza,3567.4
2005,Q4,Latina,2990.2
2005,Q4,Madrid,3799
2005,Q4,Moncloa,3924.6
2005,Q4,Moratalaz,3108.1
2005,Q4,Puente de Vallecas,2980.5
2005,Q4,Retiro,4061.4
2005,Q4,Salamanca,4552.4
2005,Q4,San Blas,3354.4
2005,Q4,Tetuan,3764.8
2005,Q4,Usera,2903.4
2005,Q4,Vicalvaro,3145.3
2005,Q4,Villa de Vallecas,2879.6
2005,Q4,Villaverde,2657.3
2006,Q1,Arganzuela,3781.2
2006,Q1,Barajas,3445.1
2006,Q1,Carabanchel,2923.7
2006,Q1,Centro,4145.2
2006,Q1,Chamartin,4609.3
2006,Q1,Chamberi,4658.4
2006,Q1,Ciudad Lineal,3695.5
2006,Q1,Fuencarral,3743.4
2006,Q1,Hortaleza,3658.9
2006,Q1,Latina,3096.1
2006,Q1,Madrid,3869.3
2006,Q1,Moncloa,4017.6
2006,Q1,Moratalaz,3242.8
2006,Q1,Puente de Vallecas,3018.8
2006,Q1,Retiro,4136.8
2006,Q1,Salamanca,4659.5
2006,Q1,San Blas,3370.1
2006,Q1,Tetuan,3899.9
2006,Q1,Usera,2981.7
2006,Q1,Vicalvaro,3201.3
2006,Q1,Villa de Vallecas,2997.6
2006,Q1,Villaverde,2672.9
2006,Q2,Arganzuela,3828.3
2006,Q2,Barajas,3514.8
2006,Q2,Carabanchel,3114.4
2006,Q2,Centro,4279.6
2006,Q2,Chamartin,4701.3
2006,Q2,Chamberi,4739
2006,Q2,Ciudad Lineal,3789.2
2006,Q2,Fuencarral,3830.3
2006,Q2,Hortaleza,3673.1
2006,Q2,Latina,3166.7
2006,Q2,Madrid,3946.9
2006,Q2,Moncloa,4079.1
2006,Q2,Moratalaz,3323.6
2006,Q2,Puente de Vallecas,3092.2
2006,Q2,Retiro,4239.5
2006,Q2,Salamanca,4722.6
2006,Q2,San Blas,3413.6
2006,Q2,Tetuan,3964
2006,Q2,Usera,3001.1
2006,Q2,Vicalvaro,3294.4
2006,Q2,Villa de Vallecas,3045.6
2006,Q2,Villaverde,2764
2006,Q3,Arganzuela,3903.5
2006,Q3,Barajas,3554.2
2006,Q3,Carabanchel,3161.2
2006,Q3,Centro,4261.9
2006,Q3,Chamartin,4668.8
2006,Q3,Chamberi,4752.4
2006,Q3,Ciudad Lineal,3804.7
2006,Q3,Fuencarral,3830.9
2006,Q3,Hortaleza,3760.6
2006,Q3,Latina,3226.7
2006,Q3,Madrid,3969.3
2006,Q3,Moncloa,4259.4
2006,Q3,Moratalaz,3332.5
2006,Q3,Puente de Vallecas,3109.4
